"source","target","category_intercell_source","database_intercell_source","category_intercell_target","database_intercell_target","sources","references","method","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","curation_effort","n_references","n_resources","simple_interaction","complex_interaction","parent_intercell_source","parent_intercell_target","ligrecextra","pathwayextra","omnipath","kinaseextra","scope_intercell_source","aspect_intercell_source","category_source_intercell_source","genesymbol_intercell_source","entity_type_intercell_source","consensus_score_intercell_source","transmitter_intercell_source","receiver_intercell_source","secreted_intercell_source","plasma_membrane_transmembrane_intercell_source","plasma_membrane_peripheral_intercell_source","scope_intercell_target","aspect_intercell_target","category_source_intercell_target","genesymbol_intercell_target","entity_type_intercell_target","consensus_score_intercell_target","transmitter_intercell_target","receiver_intercell_target","secreted_intercell_target","plasma_membrane_transmembrane_intercell_target","plasma_membrane_peripheral_intercell_target","ligand_subunits_ord","receptor_subunits_ord","source_protein","lc_stoichiometry","lc_sources","lc_references","target_protein","rc_stoichiometry","rc_sources","rc_references","n_target_units","n_ligand_units","entrezgene_id_lc","ensembl_lc","protein_name_lc","entrezgene_id_rc","ensembl_rc","protein_name_rc","source_genesymbol","target_genesymbol"
"Q9NR99","Q9NYZ4","","","","","Cellinker;Wojtowicz2020","Cellinker:32822567","LIANA consensus","","","","","","","","","","MXRA5_SIGLEC8","MXRA5_SIGLEC8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MXRA5","SIGLEC8","Q9NR99",NA,NA,NA,"Q9NYZ4","6","PDB",NA,1,1,25878,"ENSG00000101825","MXRA5_HUMAN",27181,"ENSG00000105366","SIGL8_HUMAN","MXRA5","SIGLEC8"
"P09681","Q12884","","","","","Cellinker","Cellinker:21314817","LIANA consensus","","","","","","","","","","GIP_FAP","GIP_FAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GIP","FAP","P09681",NA,NA,NA,"Q12884","2","PDB",NA,1,1,2695,"ENSG00000159224","GIP_HUMAN",2191,"ENSG00000078098","SEPR_HUMAN","GIP","FAP"
"P20231","P55085","","","","","Cellinker","Cellinker:9020112","LIANA consensus","","","","","","","","","","TPSB2_F2RL1","TPSB2_F2RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPSB2","F2RL1","P20231","4","ComplexPortal;PDB;hu.MAP2","18039527;15567416;18854315;19748655;14755292;16414069;10500112;12162961","P55085",NA,NA,NA,1,1,64499,"ENSG00000197253","TRYB2_HUMAN",2150,"ENSG00000164251","PAR2_HUMAN","TPSB2","F2RL1"
"P51654","Q6UXZ4","","","","","Cellinker","Cellinker:32589946","LIANA consensus","","","","","","","","","","GPC3_UNC5D","GPC3_UNC5D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPC3","UNC5D","P51654",NA,NA,NA,"Q6UXZ4",NA,NA,NA,1,1,2719,"ENSG00000147257","GPC3_HUMAN",137970,"ENSG00000156687","UNC5D_HUMAN","GPC3","UNC5D"
"P14555","P00533","","","","","Cellinker","Cellinker:28440478","LIANA consensus","","","","","","","","","","PLA2G2A_EGFR","PLA2G2A_EGFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLA2G2A","EGFR","P14555","6","PDB",NA,"P00533","2","PDB",NA,1,1,5320,"ENSG00000188257","PA2GA_HUMAN",1956,"ENSG00000146648","EGFR_HUMAN","PLA2G2A","EGFR"
"Q02297","Q9Y286","","","","","Cellinker;Wojtowicz2020","Cellinker:32822567","LIANA consensus","","","","","","","","","","NRG1_SIGLEC7","NRG1_SIGLEC7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRG1","SIGLEC7","Q02297",NA,NA,NA,"Q9Y286",NA,NA,NA,1,1,3084,"ENSG00000157168","NRG1_HUMAN",27036,"ENSG00000168995","SIGL7_HUMAN","NRG1","SIGLEC7"
"O00253","P18827","","","","","Cellinker","Cellinker:11461706","LIANA consensus","","","","","","","","","","AGRP_SDC1","AGRP_SDC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGRP","SDC1","O00253",NA,NA,NA,"P18827",NA,NA,NA,1,1,181,"ENSG00000159723","AGRP_HUMAN",6382,"ENSG00000115884","SDC1_HUMAN","AGRP","SDC1"
"Q6UXB8","O75509","","","","","Cellinker","Cellinker:32589946","LIANA consensus","","","","","","","","","","PI16_TNFRSF21","PI16_TNFRSF21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PI16","TNFRSF21","Q6UXB8",NA,NA,NA,"O75509",NA,NA,NA,1,1,221476,"ENSG00000164530","PI16_HUMAN",27242,"ENSG00000146072","TNR21_HUMAN","PI16","TNFRSF21"
"Q6WRI0","Q7Z6M3","","","","","Cellinker;Wojtowicz2020","Cellinker:32822567","LIANA consensus","","","","","","","","","","IGSF10_MILR1","IGSF10_MILR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IGSF10","MILR1","Q6WRI0",NA,NA,NA,"Q7Z6M3",NA,NA,NA,1,1,285313,"ENSG00000152580","IGS10_HUMAN",284021,"ENSG00000271605","MILR1_HUMAN","IGSF10","MILR1"
"Q2MKA7","Q68DV7","","","","","BioGRID;CellCall;Cellinker","BioGRID:23756651;Cellinker:29405118","LIANA consensus","","","","","","","","","","RSPO1_RNF43","RSPO1_RNF43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSPO1","RNF43","Q2MKA7",NA,NA,NA,"Q68DV7",NA,NA,NA,1,1,284654,"ENSG00000169218","RSPO1_HUMAN",54894,"ENSG00000108375","RNF43_HUMAN","RSPO1","RNF43"
"Q2I0M5","Q68DV7","","","","","CellCall;Cellinker","Cellinker:29405118","LIANA consensus","","","","","","","","","","RSPO4_RNF43","RSPO4_RNF43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSPO4","RNF43","Q2I0M5",NA,NA,NA,"Q68DV7",NA,NA,NA,1,1,343637,"ENSG00000101282","RSPO4_HUMAN",54894,"ENSG00000108375","RNF43_HUMAN","RSPO4","RNF43"
"Q8N475","O00533","","","","","Cellinker;Wojtowicz2020","Cellinker:32822567","LIANA consensus","","","","","","","","","","FSTL5_CHL1","FSTL5_CHL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FSTL5","CHL1","Q8N475",NA,NA,NA,"O00533",NA,NA,NA,1,1,56884,"ENSG00000168843","FSTL5_HUMAN",10752,"ENSG00000134121","NCHL1_HUMAN","FSTL5","CHL1"
"O00755","Q96PE1","","","","","Cellinker","Cellinker:28289266","LIANA consensus","","","","","","","","","","WNT7A_ADGRA2","WNT7A_ADGRA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WNT7A","ADGRA2","O00755",NA,NA,NA,"Q96PE1",NA,NA,NA,1,1,7476,"ENSG00000154764","WNT7A_HUMAN",25960,"ENSG00000020181","AGRA2_HUMAN","WNT7A","ADGRA2"
"P01189","Q8TCY5","","","","","Cellinker","Cellinker:19028547","LIANA consensus","","","","","","","","","","POMC_MRAP","POMC_MRAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POMC","MRAP","P01189","6","CellPhoneDB;Guide2Pharma;PDB","12007532;10358030;10493100;11101306","Q8TCY5",NA,NA,NA,1,1,5443,"ENSG00000115138","COLI_HUMAN",56246,"ENSG00000170262","MRAP_HUMAN","POMC","MRAP"
"P51654","O00300","","","","","Cellinker","Cellinker:32589946","LIANA consensus","","","","","","","","","","GPC3_TNFRSF11B","GPC3_TNFRSF11B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPC3","TNFRSF11B","P51654",NA,NA,NA,"O00300","2","ComplexPortal","10952716;22664871;9168977;30254073;30621730;27697839;14755292;9603945;23039992",1,1,2719,"ENSG00000147257","GPC3_HUMAN",4982,"ENSG00000164761","TR11B_HUMAN","GPC3","TNFRSF11B"
"P50591","P51684","","","","","Cellinker","Cellinker:16230375","LIANA consensus","","","","","","","","","","TNFSF10_CCR6","TNFSF10_CCR6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TNFSF10","CCR6","P50591","2","PDB",NA,"P51684",NA,NA,NA,1,1,8743,"ENSG00000121858","TNF10_HUMAN",1235,"ENSG00000112486","CCR6_HUMAN","TNFSF10","CCR6"
"Q9NPF7","Q9HCN6","","","","","Cellinker;Wojtowicz2020","Cellinker:32822567","LIANA consensus","","","","","","","","","","IL23A_GP6","IL23A_GP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL23A","GP6","Q9NPF7",NA,NA,NA,"Q9HCN6","2","PDB",NA,1,1,51561,"ENSG00000110944","IL23A_HUMAN",51206,"ENSG00000274566","GPVI_HUMAN","IL23A","GP6"
"P01303","P07550","","","","","CellCall;Cellinker","Cellinker:8190350","LIANA consensus","","","","","","","","","","NPY_ADRB2","NPY_ADRB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NPY","ADRB2","P01303","0","Guide2Pharma","15885496;7592910;7493937;8632753;8824284","P07550","2","CORUM;PDB","17363375",1,1,4852,"ENSG00000122585","NPY_HUMAN",154,"ENSG00000169252","ADRB2_HUMAN","NPY","ADRB2"
"P05231","O75015","","","","","Cellinker;Wojtowicz2020","Cellinker:32822567","LIANA consensus","","","","","","","","","","IL6_FCGR3B","IL6_FCGR3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL6","FCGR3B","P05231","2","PDB",NA,"O75015",NA,NA,NA,1,1,3569,"ENSG00000136244","IL6_HUMAN",2215,"ENSG00000162747","FCG3B_HUMAN","IL6","FCGR3B"
"P17931","P43121","","","","","Cellinker","Cellinker:28364041","LIANA consensus","","","","","","","","","","LGALS3_MCAM","LGALS3_MCAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LGALS3","MCAM","P17931","2","PDB",NA,"P43121","2","PDB",NA,1,1,3958,"ENSG00000131981","LEG3_HUMAN",4162,"ENSG00000076706","MUC18_HUMAN","LGALS3","MCAM"
"P02788","Q01638","","","","","Cellinker;Wojtowicz2020","Cellinker:32822567","LIANA consensus","","","","","","","","","","LTF_IL1RL1","LTF_IL1RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LTF","IL1RL1","P02788","2","PDB",NA,"Q01638",NA,NA,NA,1,1,4057,"ENSG00000012223","TRFL_HUMAN",9173,"ENSG00000115602","ILRL1_HUMAN","LTF","IL1RL1"
"P19021","Q12884","","","","","Cellinker","Cellinker:21314817","LIANA consensus","","","","","","","","","","PAM_FAP","PAM_FAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAM","FAP","P19021",NA,NA,NA,"Q12884","2","PDB",NA,1,1,5066,"ENSG00000145730","AMD_HUMAN",2191,"ENSG00000078098","SEPR_HUMAN","PAM","FAP"
"Q8N475","Q58EX2","","","","","Cellinker;Wojtowicz2020","Cellinker:32822567","LIANA consensus","","","","","","","","","","FSTL5_SDK2","FSTL5_SDK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FSTL5","SDK2","Q8N475",NA,NA,NA,"Q58EX2",NA,NA,NA,1,1,56884,"ENSG00000168843","FSTL5_HUMAN",54549,"ENSG00000069188","SDK2_HUMAN","FSTL5","SDK2"
"Q6UXN2","Q9NYZ4","","","","","Cellinker","Cellinker:32589946","LIANA consensus","","","","","","","","","","TREML4_SIGLEC8","TREML4_SIGLEC8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TREML4","SIGLEC8","Q6UXN2",NA,NA,NA,"Q9NYZ4","6","PDB",NA,1,1,285852,"ENSG00000188056","TRML4_HUMAN",27181,"ENSG00000105366","SIGL8_HUMAN","TREML4","SIGLEC8"
"P00451","O75096","","","","","Cellinker","Cellinker:12871303","LIANA consensus","","","","","","","","","","F8_LRP4","F8_LRP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F8","LRP4","P00451","2","ComplexPortal;PDB","12524220;28397397;23616213;3082357;14684146;14755292","O75096",NA,NA,NA,1,1,2157,"ENSG00000185010","FA8_HUMAN",4038,"ENSG00000134569","LRP4_HUMAN","F8","LRP4"
