"source","target","category_intercell_source","database_intercell_source","category_intercell_target","database_intercell_target","sources","references","method","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","curation_effort","n_references","n_resources","simple_interaction","complex_interaction","parent_intercell_source","parent_intercell_target","ligrecextra","pathwayextra","omnipath","kinaseextra","scope_intercell_source","aspect_intercell_source","category_source_intercell_source","genesymbol_intercell_source","entity_type_intercell_source","consensus_score_intercell_source","transmitter_intercell_source","receiver_intercell_source","secreted_intercell_source","plasma_membrane_transmembrane_intercell_source","plasma_membrane_peripheral_intercell_source","scope_intercell_target","aspect_intercell_target","category_source_intercell_target","genesymbol_intercell_target","entity_type_intercell_target","consensus_score_intercell_target","transmitter_intercell_target","receiver_intercell_target","secreted_intercell_target","plasma_membrane_transmembrane_intercell_target","plasma_membrane_peripheral_intercell_target","ligand_subunits_ord","receptor_subunits_ord","source_protein","lc_stoichiometry","lc_sources","lc_references","target_protein","rc_stoichiometry","rc_sources","rc_references","n_target_units","n_ligand_units","entrezgene_id_lc","ensembl_lc","protein_name_lc","entrezgene_id_rc","ensembl_rc","protein_name_rc","source_genesymbol","target_genesymbol"
"O14511","COMPLEX:P04626_P21860","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker","Cellinker:9168114;Cellinker:9168115","LIANA consensus","","","","","","","","","","NRG2_ERBB2","NRG2_ERBB2_ERBB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRG2","ERBB2__ERBB3","O14511",NA,NA,NA,"P04626_P21860","0:0","CellChatDB;Cellinker;ICELLNET","7514177;10214951;9312020",2,1,9542,"ENSG00000158458","NRG2_HUMAN",NA,NA,NA,"NRG2","ERBB2_ERBB3"
"O14511","COMPLEX:P04626_Q15303","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker","Cellinker:9168114;Cellinker:9168115","LIANA consensus","","","","","","","","","","NRG2_ERBB2","NRG2_ERBB2_ERBB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRG2","ERBB2__ERBB4","O14511",NA,NA,NA,"P04626_Q15303","0:0","CellChatDB;Cellinker;ICELLNET","10214951",2,1,9542,"ENSG00000158458","NRG2_HUMAN",NA,NA,NA,"NRG2","ERBB2_ERBB4"
"O14944","COMPLEX:P00533_P04626","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Cellinker;DLRP_Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker","Cellinker:8626392;Cellinker:9419975","LIANA consensus","","","","","","","","","","EREG_EGFR","EREG_EGFR_ERBB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EREG","EGFR__ERBB2","O14944",NA,NA,NA,"P00533_P04626","1:1","CellChatDB;Cellinker;KEGG-MEDICUS;PDB",NA,2,1,2069,"ENSG00000124882","EREG_HUMAN",NA,NA,NA,"EREG","EGFR_ERBB2"
"O14944","COMPLEX:P04626_Q15303","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Cellinker;DLRP_Cellinker;Guide2Pharma_Cellinker","Cellinker:9419975","LIANA consensus","","","","","","","","","","EREG_ERBB2","EREG_ERBB2_ERBB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EREG","ERBB2__ERBB4","O14944",NA,NA,NA,"P04626_Q15303","0:0","CellChatDB;Cellinker;ICELLNET","10214951",2,1,2069,"ENSG00000124882","EREG_HUMAN",NA,NA,NA,"EREG","ERBB2_ERBB4"
"O75326","COMPLEX:P05556_P56199","cell_surface_ligand","connectomeDB2020;CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET;SIGNOR","CellChatDB:22325954;CellPhoneDB:22325954;Cellinker:12879062;Cellinker:22325954;Cellinker:30568033;ICELLNET:17671519;SIGNOR:17377534","LIANA consensus","","","","","","","","","","SEMA7A_ITGA1","SEMA7A_ITGA1_ITGB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEMA7A","ITGA1__ITGB1","O75326",NA,NA,NA,"P05556_P56199","1:1","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;SIGNOR","15361064;16988024;21421911;15147720;26857815;19693543;17671519;12297042;14755292",2,1,8482,"ENSG00000288455","SEM7A_HUMAN",NA,NA,NA,"SEMA7A","ITGA1_ITGB1"
"O94856","COMPLEX:P78357_Q12860","cell_surface_ligand","CellChatDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB","","LIANA consensus","","","","","","","","","","NFASC_CNTN1","NFASC_CNTN1_CNTNAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NFASC","CNTN1__CNTNAP1","O94856",NA,NA,NA,"P78357_Q12860","0:0","CellChatDB;Cellinker",NA,2,1,23114,"ENSG00000163531","NFASC_HUMAN",NA,NA,NA,"NFASC","CNTN1_CNTNAP1"
"P01135","COMPLEX:P00533_P04626","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Cellinker;DLRP_Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker","Cellinker:12297049;Cellinker:3018723","LIANA consensus","","","","","","","","","","TGFA_EGFR","TGFA_EGFR_ERBB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGFA","EGFR__ERBB2","P01135","2","PDB",NA,"P00533_P04626","1:1","CellChatDB;Cellinker;KEGG-MEDICUS;PDB",NA,2,1,7039,"ENSG00000163235","TGFA_HUMAN",NA,NA,NA,"TGFA","EGFR_ERBB2"
"P04083","COMPLEX:P25089_P25090","cell_surface_ligand","connectomeDB2020;CellChatDB;CellPhoneDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","CellChatDB","CellChatDB:22610094","LIANA consensus","","","","","","","","","","ANXA1_FPR2","ANXA1_FPR2_FPR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANXA1","FPR2__FPR3","P04083",NA,NA,NA,"P25089_P25090","0:0","CellChatDB",NA,2,1,301,"ENSG00000135046","ANXA1_HUMAN",NA,NA,NA,"ANXA1","FPR2_FPR3"
"P04216","COMPLEX:P05106_P06756","cell_surface_ligand","CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker","CellChatDB:18346467;CellChatDB:29212879;Cellinker:18346467;Cellinker:29212879","LIANA consensus","","","","","","","","","","THY1_ITGAV","THY1_ITGAV_ITGB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THY1","ITGAV__ITGB3","P04216",NA,NA,NA,"P05106_P06756","1:1","CORUM;CellChatDB;CellPhoneDB;Cellinker;Compleat;ComplexPortal;ICELLNET;KEGG-MEDICUS;PDB;SIGNOR","18441324;28302677;7532190;8798654;19693543;33731188;12297042;14755292;20027628;28846069",2,1,7070,"ENSG00000154096","THY1_HUMAN",NA,NA,NA,"THY1","ITGAV_ITGB3"
"P04216","COMPLEX:P05107_P11215","cell_surface_ligand","CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker","CellChatDB:15850796;Cellinker:15850796","LIANA consensus","","","","","","","","","","THY1_ITGAM","THY1_ITGAM_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THY1","ITGAM__ITGB2","P04216",NA,NA,NA,"P05107_P11215","1:1","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","22461623;6943205;8786317;19693543;28676852;12297042;14755292;4062888",2,1,7070,"ENSG00000154096","THY1_HUMAN",NA,NA,NA,"THY1","ITGAM_ITGB2"
"P04216","COMPLEX:P05107_P20702","cell_surface_ligand","CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker","CellChatDB:15850796;Cellinker:15850796;Cellinker:27765629","LIANA consensus","","","","","","","","","","THY1_ITGAX","THY1_ITGAX_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THY1","ITGAX__ITGB2","P04216",NA,NA,NA,"P05107_P20702","4:4","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","12297042;14755292;4062888;19693543",2,1,7070,"ENSG00000154096","THY1_HUMAN",NA,NA,NA,"THY1","ITGAX_ITGB2"
"P05362","COMPLEX:P05107_P11215","cell_surface_ligand","connectomeDB2020;CellChatDB","adhesion","CellPhoneDB","CellChatDB;Cellinker;HPMR_Cellinker","Cellinker:11073102;Cellinker:11279101;Cellinker:14507735;Cellinker:16252253;Cellinker:7642561;Cellinker:9488691","LIANA consensus","","","","","","","","","","ICAM1_ITGAM","ICAM1_ITGAM_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICAM1","ITGAM__ITGB2","P05362","2","PDB",NA,"P05107_P11215","1:1","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","22461623;6943205;8786317;19693543;28676852;12297042;14755292;4062888",2,1,3383,"ENSG00000090339","ICAM1_HUMAN",NA,NA,NA,"ICAM1","ITGAM_ITGB2"
"P05362","COMPLEX:P05107_P20701","cell_surface_ligand","connectomeDB2020;CellChatDB","adhesion","CellPhoneDB","Baccin2019;CellChatDB;Cellinker;HPMR_Cellinker","Baccin2019:16988024;Cellinker:14507735;Cellinker:23602662","LIANA consensus","","","","","","","","","","ICAM1_ITGAL","ICAM1_ITGAL_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICAM1","ITGAL__ITGB2","P05362","2","PDB",NA,"P05107_P20701","3:3","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","23418628;10940895;10427988;19693543;12297042;14755292",2,1,3383,"ENSG00000090339","ICAM1_HUMAN",NA,NA,NA,"ICAM1","ITGAL_ITGB2"
"P05362","COMPLEX:P05107_P20702","cell_surface_ligand","connectomeDB2020;CellChatDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB_Cellinker;Cellinker;HPMR_Cellinker","CellChatDB:16252253;Cellinker:16252253;Cellinker:4062888","LIANA consensus","","","","","","","","","","ICAM1_ITGAX","ICAM1_ITGAX_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICAM1","ITGAX__ITGB2","P05362","2","PDB",NA,"P05107_P20702","4:4","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","12297042;14755292;4062888;19693543",2,1,3383,"ENSG00000090339","ICAM1_HUMAN",NA,NA,NA,"ICAM1","ITGAX_ITGB2"
"P06239","COMPLEX:P01732_P10966","cell_surface_ligand","CellChatDB;CellPhoneDB","receptor","CellPhoneDB;CellChatDB","CellChatDB;CellPhoneDB;Cellinker","CellChatDB:25427562;Cellinker:25427562","LIANA consensus","","","","","","","","","","LCK_CD8A","LCK_CD8A_CD8B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LCK","CD8A__CD8B","P06239","2","PDB",NA,"P01732_P10966","1:1","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal","14755292;22081144;17145893",2,1,3932,"ENSG00000182866","LCK_HUMAN",NA,NA,NA,"LCK","CD8A_CD8B"
"P06734","COMPLEX:P05106_P06756","cell_surface_ligand","connectomeDB2020;CellChatDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB","CellChatDB:10037797","LIANA consensus","","","","","","","","","","FCER2_ITGAV","FCER2_ITGAV_ITGB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCER2","ITGAV__ITGB3","P06734","2","PDB",NA,"P05106_P06756","1:1","CORUM;CellChatDB;CellPhoneDB;Cellinker;Compleat;ComplexPortal;ICELLNET;KEGG-MEDICUS;PDB;SIGNOR","18441324;28302677;7532190;8798654;19693543;33731188;12297042;14755292;20027628;28846069",2,1,2208,"ENSG00000104921","FCER2_HUMAN",NA,NA,NA,"FCER2","ITGAV_ITGB3"
"P06734","COMPLEX:P05107_P11215","cell_surface_ligand","connectomeDB2020;CellChatDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB","CellChatDB:7621072","LIANA consensus","","","","","","","","","","FCER2_ITGAM","FCER2_ITGAM_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCER2","ITGAM__ITGB2","P06734","2","PDB",NA,"P05107_P11215","1:1","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","22461623;6943205;8786317;19693543;28676852;12297042;14755292;4062888",2,1,2208,"ENSG00000104921","FCER2_HUMAN",NA,NA,NA,"FCER2","ITGAM_ITGB2"
"P06734","COMPLEX:P05107_P20702","cell_surface_ligand","connectomeDB2020;CellChatDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB","CellChatDB:7621072","LIANA consensus","","","","","","","","","","FCER2_ITGAX","FCER2_ITGAX_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCER2","ITGAX__ITGB2","P06734","2","PDB",NA,"P05107_P20702","4:4","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","12297042;14755292;4062888;19693543",2,1,2208,"ENSG00000104921","FCER2_HUMAN",NA,NA,NA,"FCER2","ITGAX_ITGB2"
"P07359","COMPLEX:P05107_P11215","cell_surface_ligand","CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker","CellChatDB:14530377;Cellinker:14530377;Cellinker:19286885","LIANA consensus","","","","","","","","","","GP1BA_ITGAM","GP1BA_ITGAM_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GP1BA","ITGAM__ITGB2","P07359","2","PDB",NA,"P05107_P11215","1:1","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","22461623;6943205;8786317;19693543;28676852;12297042;14755292;4062888",2,1,2811,"ENSG00000185245","GP1BA_HUMAN",NA,NA,NA,"GP1BA","ITGAM_ITGB2"
"P07996","COMPLEX:P05106_P06756","cell_surface_ligand","CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB;Cellinker","Cellinker:2478219","LIANA consensus","","","","","","","","","","THBS1_ITGAV","THBS1_ITGAV_ITGB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THBS1","ITGAV__ITGB3","P07996","2","ComplexPortal;PDB","14755292;15094115","P05106_P06756","1:1","CORUM;CellChatDB;CellPhoneDB;Cellinker;Compleat;ComplexPortal;ICELLNET;KEGG-MEDICUS;PDB;SIGNOR","18441324;28302677;7532190;8798654;19693543;33731188;12297042;14755292;20027628;28846069",2,1,7057,"ENSG00000137801","TSP1_HUMAN",NA,NA,NA,"THBS1","ITGAV_ITGB3"
"P07996","COMPLEX:P05106_P08514","cell_surface_ligand","CellPhoneDB","adhesion","CellPhoneDB","Baccin2019;CellPhoneDB","Baccin2019:16988024","LIANA consensus","","","","","","","","","","THBS1_ITGA2B","THBS1_ITGA2B_ITGB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THBS1","ITGA2B__ITGB3","P07996","2","ComplexPortal;PDB","14755292;15094115","P05106_P08514","3:3","CORUM;CellChatDB;CellPhoneDB;Cellinker;Compleat;ComplexPortal;ICELLNET;PDB;SIGNOR","22461623;19693543;33731188;12297042;14755292;11875495;8132607",2,1,7057,"ENSG00000137801","TSP1_HUMAN",NA,NA,NA,"THBS1","ITGA2B_ITGB3"
"P07996","COMPLEX:P05556_P26006","cell_surface_ligand","CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB;Cellinker","Cellinker:10196234;Cellinker:12909644;Cellinker:14699013;Cellinker:15292271","LIANA consensus","","","","","","","","","","THBS1_ITGA3","THBS1_ITGA3_ITGB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THBS1","ITGA3__ITGB1","P07996","2","ComplexPortal;PDB","14755292;15094115","P05556_P26006","1:1","CORUM;CellChatDB;CellPhoneDB;Cellinker;Compleat;ComplexPortal;ICELLNET;SIGNOR","3546305;19693543;33731188;12297042;14755292;15361064",2,1,7057,"ENSG00000137801","TSP1_HUMAN",NA,NA,NA,"THBS1","ITGA3_ITGB1"
"P10600","COMPLEX:P36896_P37173","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","CellChatDB:27449815;Cellinker:27449815","LIANA consensus","","","","","","","","","","TGFB3_ACVR1B","TGFB3_ACVR1B_TGFBR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGFB3","ACVR1B__TGFBR2","P10600","2","ComplexPortal","19073914;1333888;22943793;18243111;8819159;11850637;14755292","P36896_P37173","0:0","CellChatDB;Cellinker",NA,2,1,7043,"ENSG00000119699","TGFB3_HUMAN",NA,NA,NA,"TGFB3","ACVR1B_TGFBR2"
"P10600","COMPLEX:P36897_P37173","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;CellPhoneDB;ICELLNET;KEGG-MEDICUS","ICELLNET:7693660","LIANA consensus","","","","","","","","","","TGFB3_TGFBR1","TGFB3_TGFBR1_TGFBR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGFB3","TGFBR1__TGFBR2","P10600","2","ComplexPortal","19073914;1333888;22943793;18243111;8819159;11850637;14755292","P36897_P37173","1:1","CellChatDB;CellPhoneDB;ICELLNET;KEGG-MEDICUS;SPIKE","8242743;1333888;7693660",2,1,7043,"ENSG00000119699","TGFB3_HUMAN",NA,NA,NA,"TGFB3","TGFBR1_TGFBR2"
"P10600","COMPLEX:P36897_P37173_Q04771","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","CellChatDB:29376829","LIANA consensus","","","","","","","","","","TGFB3_ACVR1","TGFB3_ACVR1_TGFBR1_TGFBR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGFB3","ACVR1__TGFBR1__TGFBR2","P10600","2","ComplexPortal","19073914;1333888;22943793;18243111;8819159;11850637;14755292","P36897_P37173_Q04771","0:0:0","CellChatDB",NA,3,1,7043,"ENSG00000119699","TGFB3_HUMAN",NA,NA,NA,"TGFB3","ACVR1_TGFBR1_TGFBR2"
"P10600","COMPLEX:P37173_Q04771","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB","CellPhoneDB","","LIANA consensus","","","","","","","","","","TGFB3_ACVR1","TGFB3_ACVR1_TGFBR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGFB3","ACVR1__TGFBR2","P10600","2","ComplexPortal","19073914;1333888;22943793;18243111;8819159;11850637;14755292","P37173_Q04771","1:1","CellPhoneDB",NA,2,1,7043,"ENSG00000119699","TGFB3_HUMAN",NA,NA,NA,"TGFB3","ACVR1_TGFBR2"
"P10600","COMPLEX:P37173_Q8NER5","cell_surface_ligand","CellPhoneDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker;DLRP_Cellinker;HPMR_Cellinker","CellChatDB:27449815;Cellinker:11382746;Cellinker:11850637;Cellinker:12729750;Cellinker:27449815;Cellinker:8106553","LIANA consensus","","","","","","","","","","TGFB3_ACVR1C","TGFB3_ACVR1C_TGFBR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGFB3","ACVR1C__TGFBR2","P10600","2","ComplexPortal","19073914;1333888;22943793;18243111;8819159;11850637;14755292","P37173_Q8NER5","0:0","CellChatDB;Cellinker",NA,2,1,7043,"ENSG00000119699","TGFB3_HUMAN",NA,NA,NA,"TGFB3","ACVR1C_TGFBR2"
"P12830","COMPLEX:P05556_P17301","cell_surface_ligand","connectomeDB2020;CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","Baccin2019;CellChatDB;CellPhoneDB","Baccin2019:11413131;CellChatDB:12392763","LIANA consensus","","","","","","","","","","CDH1_ITGA2","CDH1_ITGA2_ITGB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDH1","ITGA2__ITGB1","P12830","2","PDB",NA,"P05556_P17301","1:1","CORUM;CellChatDB;CellPhoneDB;Cellinker;Compleat;ComplexPortal;ICELLNET;SIGNOR","3546305;12392763;16988024;21421911;15147720;26857815;19693543;12297042;14755292",2,1,999,"ENSG00000039068","CADH1_HUMAN",NA,NA,NA,"CDH1","ITGA2_ITGB1"
"P12830","COMPLEX:P26010_P38570","cell_surface_ligand","connectomeDB2020;CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","Baccin2019;CellChatDB;CellPhoneDB;Cellinker;HPMR_Cellinker;SIGNOR","Baccin2019:12392763;CellChatDB:9425167;Cellinker:10837471;Cellinker:12434297;Cellinker:7969453;Cellinker:9425167;SIGNOR:7969453","LIANA consensus","","","","","","","","","","CDH1_ITGAE","CDH1_ITGAE_ITGB7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDH1","ITGAE__ITGB7","P12830","2","PDB",NA,"P26010_P38570","1:1","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;SIGNOR","12297042;14755292;9425167;19693543",2,1,999,"ENSG00000039068","CADH1_HUMAN",NA,NA,NA,"CDH1","ITGAE_ITGB7"
"P13598","COMPLEX:P05107_P11215","cell_surface_ligand","connectomeDB2020;CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","CellChatDB;Cellinker;HPMR_Cellinker","Cellinker:10352278;Cellinker:15023143;Cellinker:9786897","LIANA consensus","","","","","","","","","","ICAM2_ITGAM","ICAM2_ITGAM_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICAM2","ITGAM__ITGB2","P13598",NA,NA,NA,"P05107_P11215","1:1","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","22461623;6943205;8786317;19693543;28676852;12297042;14755292;4062888",2,1,3384,"ENSG00000108622","ICAM2_HUMAN",NA,NA,NA,"ICAM2","ITGAM_ITGB2"
"P13598","COMPLEX:P05107_P20701","cell_surface_ligand","connectomeDB2020;CellChatDB;CellPhoneDB","adhesion","CellPhoneDB","Baccin2019;CellChatDB;CellPhoneDB;Cellinker;HPMR_Cellinker","Baccin2019:25720421;Cellinker:15023143","LIANA consensus","","","","","","","","","","ICAM2_ITGAL","ICAM2_ITGAL_ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICAM2","ITGAL__ITGB2","P13598",NA,NA,NA,"P05107_P20701","3:3","CellChatDB;CellPhoneDB;Cellinker;ComplexPortal;ICELLNET;PDB;SIGNOR","23418628;10940895;10427988;19693543;12297042;14755292",2,1,3384,"ENSG00000108622","ICAM2_HUMAN",NA,NA,NA,"ICAM2","ITGAL_ITGB2"
