"source","target","complex_interaction_OLD","source_genesymbol_OG","target_genesymbol_OG","category_intercell_source","database_intercell_source","category_intercell_target","database_intercell_target","sources","references","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","curation_effort","n_references","n_resources","source_genesymbol","source_genesymbol_subunit_1","source_genesymbol_subunit_2","source_genesymbol_subunit_3","source_genesymbol_subunit_4","source_genesymbol_subunit_5","target_genesymbol","target_genesymbol_subunit_1","target_genesymbol_subunit_2","target_genesymbol_subunit_3","target_genesymbol_subunit_4","target_genesymbol_subunit_5","complex_interaction","method","complex_interaction_rev","is_dupl_undirected"
"P22455","P54764","FGFR4__EPHA4","FGFR4","EPHA4","ligand","CellPhoneDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellPhoneDB;HPRD;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB","HPRD:16365308","","","","","","","","","","FGFR4","FGFR4",NA,NA,NA,NA,"EPHA4","EPHA4",NA,NA,NA,NA,"FGFR4__EPHA4","LIANA consensus","EPHA4__FGFR4",FALSE
"P22455","O00220","FGFR4__TNFRSF10A","FGFR4","TNFRSF10A","ligand","CellPhoneDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellPhoneDB;InnateDB-All_CellPhoneDB","","","","","","","","","","","FGFR4","FGFR4",NA,NA,NA,NA,"TNFRSF10A","TNFRSF10A",NA,NA,NA,NA,"FGFR4__TNFRSF10A","LIANA consensus","TNFRSF10A__FGFR4",FALSE
"P22362","Q9NPB9","CCL1__ACKR4","CCL1","ACKR4","ligand","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","CCL1","CCL1",NA,NA,NA,NA,"ACKR4","ACKR4",NA,NA,NA,NA,"CCL1__ACKR4","LIANA consensus, CellChat extracted","ACKR4__CCL1",FALSE
"P22362","Q16570","CCL1__ACKR1","CCL1","ACKR1","ligand","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","CellChatDB:26740381;Cellinker:26740381","","","","","","","","","","CCL1","CCL1",NA,NA,NA,NA,"ACKR1","ACKR1",NA,NA,NA,NA,"CCL1__ACKR1","LIANA consensus, CellChat extracted","ACKR1__CCL1",FALSE
"P22362","P51685","CCL1__CCR8","CCL1","CCR8","ligand","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;KEGG-MEDICUS;Kirouac2010;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10419462;Baccin2019:11154210;Baccin2019:12645948;Baccin2019:12967681;Baccin2019:16221874;Baccin2019:9211859;CellPhoneDB:24218476;Cellinker:10419462;Cellinker:11154210;Cellinker:12645948;Cellinker:12967681;Cellinker:16221874;Cellinker:9211859;DIP:10910894;DIP:11470772;DIP:9211859;DIP:9469461;Guide2Pharma:10419462;Guide2Pharma:11154210;Guide2Pharma:16221874;HPMR:12645948;HPRD:12967681;HPRD:9211859;ICELLNET:9207005;InnateDB:9211859;LRdb:10699158;SIGNOR:12645948;connectomeDB2020:10419462;connectomeDB2020:11154210;connectomeDB2020:12645948;connectomeDB2020:12967681;connectomeDB2020:16221874;connectomeDB2020:9211859;scConnect:10419462;scConnect:11154210;scConnect:16221874","","","","","","","","","","CCL1","CCL1",NA,NA,NA,NA,"CCR8","CCR8",NA,NA,NA,NA,"CCL1__CCR8","LIANA consensus, LIANA Ramilowski2015, CellphoneDB extracted, CellChat extracted","CCR8__CCL1",FALSE
"P22301","Q8IU57","IL10__IFNLR1","IL10","IFNLR1","","","","","CellCall;Cellinker","Cellinker:27133025","","","","","","","","","","IL10","IL10",NA,NA,NA,NA,"IFNLR1","IFNLR1",NA,NA,NA,NA,"IL10__IFNLR1","LIANA consensus","IFNLR1__IL10",FALSE
"P22301","Q13651_Q08334","IL10__IL10RA_IL10RB","IL10","IL10RA_IL10RB","ligand","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;CellPhoneDB;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET;KEGG-MEDICUS","Cellinker:10231374;Cellinker:11485736;Cellinker:11717514;Cellinker:12974481;Cellinker:7759550;Cellinker:8248239;Cellinker:8897595;Cellinker:9312047;ICELLNET:10347215;ICELLNET:15032600","","","","","","","","","","IL10","IL10",NA,NA,NA,NA,"IL10RA_IL10RB","IL10RA","IL10RB",NA,NA,NA,"IL10__IL10RA_IL10RB","LIANA consensus, CellphoneDB extracted, CellChat extracted","IL10RA_IL10RB__IL10",FALSE
"P22301","Q13651","IL10__IL10RA","IL10","IL10RA","ligand","","receptor","","Baccin2019;BioGRID;CellCall;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;IntAct;Kirouac2010;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10231374;Baccin2019:11485736;Baccin2019:11717514;Baccin2019:12974481;Baccin2019:7759550;Baccin2019:8248239;Baccin2019:8897595;BioGRID:10231374;BioGRID:11485736;BioGRID:11717514;BioGRID:7759550;BioGRID:8248239;CellTalkDB:12974481;DIP:15837194;DIP:20462497;DIP:8120391;HPRD:10231374;HPRD:11485736;HPRD:11717514;HPRD:7759550;HPRD:8248239;HPRD:8897595;InnateDB:10788470;InnateDB:11717514;InnateDB:9568901;IntAct:11485736;IntAct:12513909;IntAct:15837194;IntAct:20462497;LRdb:10231374;LRdb:11485736;LRdb:11717514;LRdb:12974481;LRdb:7759550;LRdb:8248239;LRdb:8897595;Lit-BM-17:10231374;Lit-BM-17:11485736;Lit-BM-17:11717514;Lit-BM-17:12513909;Lit-BM-17:15837194;Lit-BM-17:8120391;SIGNOR:10347215;SIGNOR:26260587;SPIKE:11591769;SignaLink3:17208301;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8248239;connectomeDB2020:10231374;connectomeDB2020:11485736;connectomeDB2020:11717514;connectomeDB2020:12974481;connectomeDB2020:7759550;connectomeDB2020:8248239;connectomeDB2020:8897595;scConnect:19161426","1","1","0","1","1","0","57","Baccin2019:10231374;Baccin2019:11485736;Baccin2019:11717514;Baccin2019:12974481;Baccin2019:7759550;Baccin2019:8248239;Baccin2019:8897595;BioGRID:10231374;BioGRID:11485736;BioGRID:11717514;BioGRID:7759550;BioGRID:8248239;CellTalkDB:12974481;DIP:15837194;DIP:20462497;DIP:8120391;HPRD:10231374;HPRD:11485736;HPRD:11717514;HPRD:7759550;HPRD:8248239;HPRD:8897595;InnateDB:10788470;InnateDB:11717514;InnateDB:9568901;IntAct:11485736;IntAct:12513909;IntAct:15837194;IntAct:20462497;LRdb:10231374;LRdb:11485736;LRdb:11717514;LRdb:12974481;LRdb:7759550;LRdb:8248239;LRdb:8897595;Lit-BM-17:10231374;Lit-BM-17:11485736;Lit-BM-17:11717514;Lit-BM-17:12513909;Lit-BM-17:15837194;Lit-BM-17:8120391;SIGNOR:10347215;SIGNOR:26260587;SPIKE:11591769;SignaLink3:17208301;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8248239;connectomeDB2020:10231374;connectomeDB2020:11485736;connectomeDB2020:11717514;connectomeDB2020:12974481;connectomeDB2020:7759550;connectomeDB2020:8248239;connectomeDB2020:8897595;scConnect:19161426","22","IL10","IL10",NA,NA,NA,NA,"IL10RA","IL10RA",NA,NA,NA,NA,"IL10__IL10RA","LIANA Ramilowski2015","IL10RA__IL10",FALSE
"P22301","Q08334","IL10__IL10RB","IL10","IL10RB","ligand","","receptor","","CellCall;CellTalkDB;DIP;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;SIGNOR;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr","CellTalkDB:12974481;DIP:20462497;DIP:9312047;HPRD:11485736;HPRD:9312047;LRdb:11485736;LRdb:12974481;LRdb:9312047;Lit-BM-17:12513909;Lit-BM-17:9312047;SIGNOR:10347215;SIGNOR:11035029;SignaLink3:11485736;SignaLink3:17208301;SignaLink3:23331499;SignaLink3:9312047;connectomeDB2020:11485736;connectomeDB2020:12974481;connectomeDB2020:9312047","1","1","0","1","1","0","19","CellTalkDB:12974481;DIP:20462497;DIP:9312047;HPRD:11485736;HPRD:9312047;LRdb:11485736;LRdb:12974481;LRdb:9312047;Lit-BM-17:12513909;Lit-BM-17:9312047;SIGNOR:10347215;SIGNOR:11035029;SignaLink3:11485736;SignaLink3:17208301;SignaLink3:23331499;SignaLink3:9312047;connectomeDB2020:11485736;connectomeDB2020:12974481;connectomeDB2020:9312047","15","IL10","IL10",NA,NA,NA,NA,"IL10RB","IL10RB",NA,NA,NA,NA,"IL10__IL10RB","LIANA Ramilowski2015","IL10RB__IL10",FALSE
"P22301","P32970","IL10__CD70","IL10","CD70","","","","","Cellinker","Cellinker:9767422","","","","","","","","","","IL10","IL10",NA,NA,NA,NA,"CD70","CD70",NA,NA,NA,NA,"IL10__CD70","LIANA consensus","CD70__IL10",FALSE
