"source","target","complex_interaction_OLD","source_genesymbol_OG","target_genesymbol_OG","category_intercell_source","database_intercell_source","category_intercell_target","database_intercell_target","sources","references","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","curation_effort","n_references","n_resources","source_genesymbol","source_genesymbol_subunit_1","source_genesymbol_subunit_2","source_genesymbol_subunit_3","source_genesymbol_subunit_4","source_genesymbol_subunit_5","target_genesymbol","target_genesymbol_subunit_1","target_genesymbol_subunit_2","target_genesymbol_subunit_3","target_genesymbol_subunit_4","target_genesymbol_subunit_5","complex_interaction","method","complex_interaction_rev","is_dupl_undirected"
"Q9Y6N6","Q7L1I2","LAMC3__SV2B","LAMC3","SV2B","","","","","","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"SV2B","SV2B",NA,NA,NA,NA,"LAMC3__SV2B","CellChat extracted","SV2B__LAMC3",FALSE
"Q9Y6N6","Q7L0J3","LAMC3__SV2A","LAMC3","SV2A","","","","","","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"SV2A","SV2A",NA,NA,NA,NA,"LAMC3__SV2A","CellChat extracted","SV2A__LAMC3",FALSE
"Q9Y6N6","Q496J9","LAMC3__SV2C","LAMC3","SV2C","","","","","","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"SV2C","SV2C",NA,NA,NA,NA,"LAMC3__SV2C","CellChat extracted","SV2C__LAMC3",FALSE
"Q9Y6N6","Q14118","LAMC3__DAG1","LAMC3","DAG1","ecm","CellChatDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB","CellChatDB;Wang","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"DAG1","DAG1",NA,NA,NA,NA,"LAMC3__DAG1","LIANA consensus, CellChat extracted","DAG1__LAMC3",FALSE
"Q9Y6N6","Q13797_P05556","LAMC3__ITGA9_ITGB1","LAMC3","ITGA9_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA9_ITGB1","ITGA9","ITGB1",NA,NA,NA,"LAMC3__ITGA9_ITGB1","LIANA consensus, CellChat extracted","ITGA9_ITGB1__LAMC3",FALSE
"Q9Y6N6","Q13683_P05556","LAMC3__ITGA7_ITGB1","LAMC3","ITGA7_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA7_ITGB1","ITGA7","ITGB1",NA,NA,NA,"LAMC3__ITGA7_ITGB1","LIANA consensus, CellChat extracted","ITGA7_ITGB1__LAMC3",FALSE
"Q9Y6N6","P56199_P05556","LAMC3__ITGB1_ITGA1","LAMC3","ITGB1_ITGA1","","","","","","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA1_ITGB1","ITGA1","ITGB1",NA,NA,NA,"LAMC3__ITGA1_ITGB1","CellChat extracted","ITGA1_ITGB1__LAMC3",FALSE
"Q9Y6N6","P26006_P05556","LAMC3__ITGA3_ITGB1","LAMC3","ITGA3_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA3_ITGB1","ITGA3","ITGB1",NA,NA,NA,"LAMC3__ITGA3_ITGB1","LIANA consensus, CellChat extracted","ITGA3_ITGB1__LAMC3",FALSE
"Q9Y6N6","P23229_P16144","LAMC3__ITGA6_ITGB4","LAMC3","ITGA6_ITGB4","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA6_ITGB4","ITGA6","ITGB4",NA,NA,NA,"LAMC3__ITGA6_ITGB4","LIANA consensus, CellChat extracted","ITGA6_ITGB4__LAMC3",FALSE
"Q9Y6N6","P23229_P05556","LAMC3__ITGA6_ITGB1","LAMC3","ITGA6_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA6_ITGB1","ITGA6","ITGB1",NA,NA,NA,"LAMC3__ITGA6_ITGB1","LIANA consensus, CellChat extracted","ITGA6_ITGB1__LAMC3",FALSE
"Q9Y6N6","P17301_P05556","LAMC3__ITGA2_ITGB1","LAMC3","ITGA2_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGA2_ITGB1","ITGA2","ITGB1",NA,NA,NA,"LAMC3__ITGA2_ITGB1","LIANA consensus, CellChat extracted","ITGA2_ITGB1__LAMC3",FALSE
"Q9Y6N6","P16070","LAMC3__CD44","LAMC3","CD44","ecm","CellChatDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Wang","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"CD44","CD44",NA,NA,NA,NA,"LAMC3__CD44","LIANA consensus, CellChat extracted","CD44__LAMC3",FALSE
"Q9Y6N6","P06756_P26012","LAMC3__ITGAV_ITGB8","LAMC3","ITGAV_ITGB8","ecm","CellChatDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","LAMC3","LAMC3",NA,NA,NA,NA,"ITGAV_ITGB8","ITGAV","ITGB8",NA,NA,NA,"LAMC3__ITGAV_ITGB8","LIANA consensus, CellChat extracted","ITGAV_ITGB8__LAMC3",FALSE
"Q9Y6H8","Q9Y6H8","GJA3__GJA3","GJA3","GJA3","","","","","","","","","","","","","","","","GJA3","GJA3",NA,NA,NA,NA,"GJA3","GJA3",NA,NA,NA,NA,"GJA3__GJA3","CellphoneDB extracted, CellChat extracted","GJA3__GJA3",FALSE
"Q9Y6H8","P36383","GJA3__GJC1","GJA3","GJC1","","","","","","","","","","","","","","","","GJA3","GJA3",NA,NA,NA,NA,"GJC1","GJC1",NA,NA,NA,NA,"GJA3__GJC1","CellphoneDB extracted, CellChat extracted","GJC1__GJA3",FALSE
"Q9Y6H8","P36382","GJA3__GJA5","GJA3","GJA5","","","","","","","","","","","","","","","","GJA3","GJA3",NA,NA,NA,NA,"GJA5","GJA5",NA,NA,NA,NA,"GJA3__GJA5","CellphoneDB extracted, CellChat extracted","GJA5__GJA3",FALSE
"Q9Y6H8","P17302","GJA3__GJA1","GJA3","GJA1","","","","","","","","","","","","","","","","GJA3","GJA3",NA,NA,NA,NA,"GJA1","GJA1",NA,NA,NA,NA,"GJA3__GJA1","CellphoneDB extracted, CellChat extracted","GJA1__GJA3",FALSE
"Q9Y6F9","Q9Y5W5","WNT6__WIF1","WNT6","WIF1","","","","","","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"WIF1","WIF1",NA,NA,NA,NA,"WNT6__WIF1","CellphoneDB extracted","WIF1__WNT6",FALSE
"Q9Y6F9","Q9UP38_O75581","WNT6__FZD1_LRP6","WNT6","FZD1_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD1_LRP6","FZD1","LRP6",NA,NA,NA,"WNT6__FZD1_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD1_LRP6__WNT6",FALSE
"Q9Y6F9","Q9UP38_O75197","WNT6__FZD1_LRP5","WNT6","FZD1_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD1_LRP5","FZD1","LRP5",NA,NA,NA,"WNT6__FZD1_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD1_LRP5__WNT6",FALSE
"Q9Y6F9","Q9ULW2_O75581","WNT6__FZD10_LRP6","WNT6","FZD10_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD10_LRP6","FZD10","LRP6",NA,NA,NA,"WNT6__FZD10_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD10_LRP6__WNT6",FALSE
"Q9Y6F9","Q9ULW2_O75197","WNT6__FZD10_LRP5","WNT6","FZD10_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD10_LRP5","FZD10","LRP5",NA,NA,NA,"WNT6__FZD10_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD10_LRP5__WNT6",FALSE
"Q9Y6F9","Q9ULV1_O75581","WNT6__FZD4_LRP6","WNT6","FZD4_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD4_LRP6","FZD4","LRP6",NA,NA,NA,"WNT6__FZD4_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD4_LRP6__WNT6",FALSE
"Q9Y6F9","Q9ULV1_O75197","WNT6__FZD4_LRP5","WNT6","FZD4_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD4_LRP5","FZD4","LRP5",NA,NA,NA,"WNT6__FZD4_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD4_LRP5__WNT6",FALSE
"Q9Y6F9","Q9NPG1_O75581","WNT6__FZD3_LRP6","WNT6","FZD3_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD3_LRP6","FZD3","LRP6",NA,NA,NA,"WNT6__FZD3_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD3_LRP6__WNT6",FALSE
"Q9Y6F9","Q9NPG1_O75197","WNT6__FZD3_LRP5","WNT6","FZD3_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD3_LRP5","FZD3","LRP5",NA,NA,NA,"WNT6__FZD3_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD3_LRP5__WNT6",FALSE
"Q9Y6F9","Q9H461_O75581","WNT6__FZD8_LRP6","WNT6","FZD8_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD8_LRP6","FZD8","LRP6",NA,NA,NA,"WNT6__FZD8_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD8_LRP6__WNT6",FALSE
"Q9Y6F9","Q9H461_O75197","WNT6__FZD8_LRP5","WNT6","FZD8_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD8_LRP5","FZD8","LRP5",NA,NA,NA,"WNT6__FZD8_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD8_LRP5__WNT6",FALSE
"Q9Y6F9","Q96HF1","WNT6__SFRP2","WNT6","SFRP2","","","","","","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"SFRP2","SFRP2",NA,NA,NA,NA,"WNT6__SFRP2","CellphoneDB extracted","SFRP2__WNT6",FALSE
"Q9Y6F9","Q92765","WNT6__FRZB","WNT6","FRZB","","","","","","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FRZB","FRZB",NA,NA,NA,NA,"WNT6__FRZB","CellphoneDB extracted","FRZB__WNT6",FALSE
"Q9Y6F9","Q8N474","WNT6__SFRP1","WNT6","SFRP1","","","","","","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"SFRP1","SFRP1",NA,NA,NA,NA,"WNT6__SFRP1","CellphoneDB extracted","SFRP1__WNT6",FALSE
"Q9Y6F9","Q6FHJ7","WNT6__SFRP4","WNT6","SFRP4","","","","","","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"SFRP4","SFRP4",NA,NA,NA,NA,"WNT6__SFRP4","CellphoneDB extracted","SFRP4__WNT6",FALSE
"Q9Y6F9","Q5T4F7","WNT6__SFRP5","WNT6","SFRP5","","","","","","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"SFRP5","SFRP5",NA,NA,NA,NA,"WNT6__SFRP5","CellphoneDB extracted","SFRP5__WNT6",FALSE
"Q9Y6F9","Q14332_O75581","WNT6__FZD2_LRP6","WNT6","FZD2_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD2_LRP6","FZD2","LRP6",NA,NA,NA,"WNT6__FZD2_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD2_LRP6__WNT6",FALSE
"Q9Y6F9","Q14332_O75197","WNT6__FZD2_LRP5","WNT6","FZD2_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD2_LRP5","FZD2","LRP5",NA,NA,NA,"WNT6__FZD2_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD2_LRP5__WNT6",FALSE
"Q9Y6F9","Q13467_O75581","WNT6__FZD5_LRP6","WNT6","FZD5_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD5_LRP6","FZD5","LRP6",NA,NA,NA,"WNT6__FZD5_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD5_LRP6__WNT6",FALSE
"Q9Y6F9","Q13467_O75197","WNT6__FZD5_LRP5","WNT6","FZD5_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD5_LRP5","FZD5","LRP5",NA,NA,NA,"WNT6__FZD5_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD5_LRP5__WNT6",FALSE
"Q9Y6F9","O95813","WNT6__CER1","WNT6","CER1","","","","","","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"CER1","CER1",NA,NA,NA,NA,"WNT6__CER1","CellphoneDB extracted","CER1__WNT6",FALSE
"Q9Y6F9","O75084_O75581","WNT6__FZD7_LRP6","WNT6","FZD7_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD7_LRP6","FZD7","LRP6",NA,NA,NA,"WNT6__FZD7_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD7_LRP6__WNT6",FALSE
"Q9Y6F9","O75084_O75197","WNT6__FZD7_LRP5","WNT6","FZD7_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD7_LRP5","FZD7","LRP5",NA,NA,NA,"WNT6__FZD7_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD7_LRP5__WNT6",FALSE
"Q9Y6F9","O60353_O75581","WNT6__FZD6_LRP6","WNT6","FZD6_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD6_LRP6","FZD6","LRP6",NA,NA,NA,"WNT6__FZD6_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD6_LRP6__WNT6",FALSE
"Q9Y6F9","O60353_O75197","WNT6__FZD6_LRP5","WNT6","FZD6_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD6_LRP5","FZD6","LRP5",NA,NA,NA,"WNT6__FZD6_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD6_LRP5__WNT6",FALSE
"Q9Y6F9","O00144_O75581","WNT6__FZD9_LRP6","WNT6","FZD9_LRP6","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB;Cellinker","Cellinker:23209147","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD9_LRP6","FZD9","LRP6",NA,NA,NA,"WNT6__FZD9_LRP6","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD9_LRP6__WNT6",FALSE
"Q9Y6F9","O00144_O75197","WNT6__FZD9_LRP5","WNT6","FZD9_LRP5","ligand","connectomeDB2020;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","WNT6","WNT6",NA,NA,NA,NA,"FZD9_LRP5","FZD9","LRP5",NA,NA,NA,"WNT6__FZD9_LRP5","LIANA consensus, CellphoneDB extracted, CellChat extracted","FZD9_LRP5__WNT6",FALSE
"Q9Y624","Q9Y624","F11R__F11R","F11R","F11R","","","","","","","","","","","","","","","","F11R","F11R",NA,NA,NA,NA,"F11R","F11R",NA,NA,NA,NA,"F11R__F11R","CellChat extracted","F11R__F11R",FALSE
"Q9Y624","P20701_P05107","F11R__ITGAL_ITGB2","F11R","ITGAL_ITGB2","cell_surface_ligand","connectomeDB2020;CellChatDB","adhesion","CellPhoneDB","CellChatDB;CellPhoneDB_Cellinker;Cellinker","CellChatDB:11812992;Cellinker:11812992","","","","","","","","","","F11R","F11R",NA,NA,NA,NA,"ITGAL_ITGB2","ITGAL","ITGB2",NA,NA,NA,"F11R__ITGAL_ITGB2","LIANA consensus, CellphoneDB extracted, CellChat extracted","ITGAL_ITGB2__F11R",FALSE
"Q9Y5W7","P50406","SNX14__HTR6","SNX14","HTR6","","","","","Cellinker","Cellinker:25795301","","","","","","","","","","SNX14","SNX14",NA,NA,NA,NA,"HTR6","HTR6",NA,NA,NA,NA,"SNX14__HTR6","LIANA consensus","HTR6__SNX14",FALSE
"Q9Y5W5","P34925","WIF1__RYK","WIF1","RYK","ligand","CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;CellTalkDB","CellTalkDB","CellTalkDB:28529460","","","","","","","","","","WIF1","WIF1",NA,NA,NA,NA,"RYK","RYK",NA,NA,NA,NA,"WIF1__RYK","LIANA consensus","RYK__WIF1",FALSE
"Q9Y5Q6","Q9NSD7","INSL5__RXFP3","INSL5","RXFP3","ligand","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:15525639;CellTalkDB:15525639;Cellinker:15525639;Cellinker:25761609;Guide2Pharma:18582868;LRdb:15525639;connectomeDB2020:15525639;scConnect:18582868","","","","","","","","","","INSL5","INSL5",NA,NA,NA,NA,"RXFP3","RXFP3",NA,NA,NA,NA,"INSL5__RXFP3","LIANA consensus, LIANA Ramilowski2015, CellChat extracted","RXFP3__INSL5",FALSE
"Q9Y5Q6","Q9HBX9","INSL5__RXFP1","INSL5","RXFP1","ligand","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","INSL5","INSL5",NA,NA,NA,NA,"RXFP1","RXFP1",NA,NA,NA,NA,"INSL5__RXFP1","LIANA consensus, CellChat extracted","RXFP1__INSL5",FALSE
"Q9Y5Q6","Q8WXD0","INSL5__RXFP2","INSL5","RXFP2","ligand","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","CellChatDB","","","","","","","","","","","INSL5","INSL5",NA,NA,NA,NA,"RXFP2","RXFP2",NA,NA,NA,NA,"INSL5__RXFP2","LIANA consensus, CellChat extracted","RXFP2__INSL5",FALSE
"Q9Y5Q6","Q8TDU9","INSL5__RXFP4","INSL5","RXFP4","ligand","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:1546592515525630;CellTalkDB:15465925;Cellinker:15465925;Cellinker:15525639;Cellinker:25761609;Cellinker:27888281;Guide2Pharma:15525639;Guide2Pharma:18582868;Guide2Pharma:18682868;Guide2Pharma:22257012;Guide2Pharma:24188028;Guide2Pharma:26824523;LRdb:15465925;LRdb:16;connectomeDB2020:15465925;connectomeDB2020:15525639;scConnect:15525639;scConnect:18582868;scConnect:18682868;scConnect:22257012;scConnect:24188028;scConnect:26824523;scConnect:27243554","","","","","","","","","","INSL5","INSL5",NA,NA,NA,NA,"RXFP4","RXFP4",NA,NA,NA,NA,"INSL5__RXFP4","LIANA consensus, LIANA Ramilowski2015, CellphoneDB extracted, CellChat extracted","RXFP4__INSL5",FALSE
"Q9Y5Q6","Q14831","INSL5__GRM7","INSL5","GRM7","ligand","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","receptor","CellTalkDB","CellTalkDB;LRdb;Reactome_LRdb","CellTalkDB:32196115","","","","","","","","","","INSL5","INSL5",NA,NA,NA,NA,"GRM7","GRM7",NA,NA,NA,NA,"INSL5__GRM7","LIANA consensus","GRM7__INSL5",FALSE
"Q9Y5Q6","P48039","INSL5__MTNR1A","INSL5","MTNR1A","ligand","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellTalkDB","CellTalkDB;LRdb;Reactome_LRdb","CellTalkDB:32196115","","","","","","","","","","INSL5","INSL5",NA,NA,NA,NA,"MTNR1A","MTNR1A",NA,NA,NA,NA,"INSL5__MTNR1A","LIANA consensus","MTNR1A__INSL5",FALSE
"Q9Y5Q6","P08913","INSL5__ADRA2A","INSL5","ADRA2A","ligand","connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB","receptor","connectomeDB2020;CellTalkDB","CellTalkDB;LRdb;Reactome_LRdb","CellTalkDB:32196115","","","","","","","","","","INSL5","INSL5",NA,NA,NA,NA,"ADRA2A","ADRA2A",NA,NA,NA,NA,"INSL5__ADRA2A","LIANA consensus","ADRA2A__INSL5",FALSE
"Q9Y5K2","P55085","KLK4__F2RL1","KLK4","F2RL1","","","","","","","","","","","","","","","","KLK4","KLK4",NA,NA,NA,NA,"F2RL1","F2RL1",NA,NA,NA,NA,"KLK4__F2RL1","CellChat extracted","F2RL1__KLK4",FALSE
"Q9Y5K2","P25116","KLK4__F2R","KLK4","F2R","","","","","","","","","","","","","","","","KLK4","KLK4",NA,NA,NA,NA,"F2R","F2R",NA,NA,NA,NA,"KLK4__F2R","CellChat extracted","F2R__KLK4",FALSE
"Q9Y5I4","Q9Y5I4","PCDHAC2__PCDHAC2","PCDHAC2","PCDHAC2","","","","","","","","","","","","","","","","PCDHAC2","PCDHAC2",NA,NA,NA,NA,"PCDHAC2","PCDHAC2",NA,NA,NA,NA,"PCDHAC2__PCDHAC2","CellChat extracted","PCDHAC2__PCDHAC2",FALSE
"Q9Y5I3","Q9Y5I3","PCDHA1__PCDHA1","PCDHA1","PCDHA1","","","","","","","","","","","","","","","","PCDHA1","PCDHA1",NA,NA,NA,NA,"PCDHA1","PCDHA1",NA,NA,NA,NA,"PCDHA1__PCDHA1","CellChat extracted","PCDHA1__PCDHA1",FALSE
"Q9Y5I2","Q9Y5I2","PCDHA10__PCDHA10","PCDHA10","PCDHA10","","","","","","","","","","","","","","","","PCDHA10","PCDHA10",NA,NA,NA,NA,"PCDHA10","PCDHA10",NA,NA,NA,NA,"PCDHA10__PCDHA10","CellChat extracted","PCDHA10__PCDHA10",FALSE
"Q9Y5I1","Q9Y5I1","PCDHA11__PCDHA11","PCDHA11","PCDHA11","","","","","","","","","","","","","","","","PCDHA11","PCDHA11",NA,NA,NA,NA,"PCDHA11","PCDHA11",NA,NA,NA,NA,"PCDHA11__PCDHA11","CellChat extracted","PCDHA11__PCDHA11",FALSE
"Q9Y5I0","Q9Y5I0","PCDHA13__PCDHA13","PCDHA13","PCDHA13","","","","","","","","","","","","","","","","PCDHA13","PCDHA13",NA,NA,NA,NA,"PCDHA13","PCDHA13",NA,NA,NA,NA,"PCDHA13__PCDHA13","CellChat extracted","PCDHA13__PCDHA13",FALSE
"Q9Y5H9","Q9Y5H9","PCDHA2__PCDHA2","PCDHA2","PCDHA2","","","","","","","","","","","","","","","","PCDHA2","PCDHA2",NA,NA,NA,NA,"PCDHA2","PCDHA2",NA,NA,NA,NA,"PCDHA2__PCDHA2","CellChat extracted","PCDHA2__PCDHA2",FALSE
"Q9Y5H8","Q9Y5H8","PCDHA3__PCDHA3","PCDHA3","PCDHA3","","","","","","","","","","","","","","","","PCDHA3","PCDHA3",NA,NA,NA,NA,"PCDHA3","PCDHA3",NA,NA,NA,NA,"PCDHA3__PCDHA3","CellChat extracted","PCDHA3__PCDHA3",FALSE
